id,name,kana,type,effect_value_1,effect_value_2,enable_battle,description_1,description_2
200943,木彫りのクマ,きぼりのくま,4,0,0,0,木を彫ってクマの形にした作品。\n職人のこだわりの技が光っている。,0
200944,金魚のちょうちん,きんぎょのちょうちん,4,0,0,0,金魚の形をしたちょうちん。\nかわいらしい姿が　子どもたちにも大人気。,0
200945,匠のちょうちん,たくみのちょうちん,4,0,0,0,火のマークが描かれているちょうちん。\nあたたかい光に　心がほっこりする。,0
200946,金のしゃちほこ,きんのしゃちほこ,4,0,0,0,金で作られたしゃちほこ。\nキラキラ光り　とてつもない存在感。,0
200947,たこ焼き器,たこやきき,4,0,0,0,たこ焼きを作るための道具。\nこれで作るたこ焼きは　絶品のおいしさ。,0
200948,砂丘の砂,さきゅうのすな,4,0,0,0,砂丘でひろった砂。\nこれを持っていると幸せになれるという。,0
200949,伝統のあみ傘,でんとうのあみがさ,4,0,0,0,い草を使ったあみ傘。\n伝統的なお祭りで使われている年期物。,0
200950,ハニワ,はにわ,4,0,0,0,最近　おおもり山で発掘されたハニワ。\nへんてこなポーズが　おもしろカワイイ。,0
200951,真っ赤なハイビスカス,まっかなはいびすかす,4,0,0,0,あざやかで真っ赤なハイビスカス。\nその明るい色は　人の心を明るくさせる。,0
200963,ＭＶＰのトロフィー,エムブイピーのトロフィー\n※ＭＶＰのルビはカタカナで「エムブイピー」,4,0,0,0,その年　最も活躍した妖怪を決める\n最高に栄誉ある賞のトロフィー。,0
200952,もんげ～ヒトダマ,もんげーひとだま,4,0,0,0,ピュアすぎる心の持ち主のヒトダマ。\nその輝きは　ヒトダマとなっても消えない。,0
200953,みかげ石,みかげいし,4,0,0,0,名城を支え続けてきた年代物の石垣が\nピカピカにみがかれて　生まれ変わった。,0
200954,かいてきクローゼット,かいてきくろーぜっと,4,0,0,0,家具職人のこだわりが光る\nインドア派にオススメのクローゼット。　,0
200955,なまだま,なまだま,4,0,0,0,見る者の心に作用して　根源的な\n狂暴性を解放させる　美しくも危うい玉。,0
200956,火焔土器,かえんどき,4,0,0,0,５０００年以上前に作られたという土器で\n原始時代の荒ぶる感情が伝わってくる。,0
200957,バッドボール,ばっどぼーる,4,0,0,0,心の中に潜む悪を増幅させるという玉。\nその悪を克服すると真のヒーローになれる。,0
200958,アロマな入浴剤,あろまなにゅうよくざい,4,0,0,0,リッチな花の香りがただよう入浴剤。\nその香りが極上のお風呂体験をもたらす。,0
200959,発売延期の書状,はつばいえんきのしょじょう,4,0,0,0,とあるゲームの発売延期を伝える書状。\nファンに悲しみにも似た怒りを植えつける。,0
200960,太古のＤＮＡ,たいこのディーエヌエー\n※ＤＮＡのルビはカタカナで「ディーエヌエー」,4,0,0,0,太古の時代に恐竜の血を吸った蚊が\n樹液によって固められた美しい琥珀。,0
200961,怪魔の素,かいまのもと,4,0,0,0,一部の妖怪と合成すると\n怪魔化してしまうという　おそろしい素材。,0
200962,メリケン粉,めりけんこ,4,0,0,0,[ＵＳＡ/ユーエスエー]特有の成分をこれでもかと混ぜた粉。\nふりかけた妖怪をメリケン化する。,0
